vid,name
催乳素(PRL),催乳素(PRL)
Chvostek征,Chvostek征
角膜照影法,角膜照影法
无痛肠镜,无痛肠镜
前列腺液病原体,前列腺液病原体
子宫内膜活检,子宫内膜活检
脑脊液降钙素基因相关肽,脑脊液降钙素基因相关肽
糖链抗原125,糖链抗原125
二维超声心动图,二维超声心动图
羊水卵磷脂/鞘磷脂比值（L/S）,羊水卵磷脂/鞘磷脂比值（L/S）
舒张压,舒张压
δ-胆红素,δ-胆红素
可提取性核抗原（ENA）,可提取性核抗原（ENA）
T细胞花环形成试验,T细胞花环形成试验
抗戊型肝炎病毒抗体,抗戊型肝炎病毒抗体
血清胆固醇酯,血清胆固醇酯
亚健康人群体检,亚健康人群体检
胸部平片,胸部平片
抗甲状腺球蛋白抗体（ATGA）,抗甲状腺球蛋白抗体（ATGA）
浮髌试验,浮髌试验
视神经检查,视神经检查
肺显像,肺显像
抗血小板抗体,抗血小板抗体
人体内的微量元素检测,人体内的微量元素检测
半蹲试验,半蹲试验
粪便钾（Potassium.K）,粪便钾（Potassium.K）
尿卟啉,尿卟啉
血浆游离血红蛋白,血浆游离血红蛋白
血清总铁结合力,血清总铁结合力
粪钾,粪钾
抗硬皮病-70抗体,抗硬皮病-70抗体
沙门氏菌的鉴定,沙门氏菌的鉴定
脑脊液细胞计数,脑脊液细胞计数
支气管肺泡灌洗术（BAL）,支气管肺泡灌洗术（BAL）
迷走神经检查,迷走神经检查
囊虫病补体结合试验,囊虫病补体结合试验
脊柱运动试验,脊柱运动试验
肺和胸膜触诊,肺和胸膜触诊
闭孔内肌试验,闭孔内肌试验
钩蚴培养法,钩蚴培养法
尿浓缩试验,尿浓缩试验
乙型脑炎病毒抗体,乙型脑炎病毒抗体
氨基酸的检查,氨基酸的检查
脑脊液蛋白定性,脑脊液蛋白定性
粪便酵母菌,粪便酵母菌
脊柱MRI检查,脊柱MRI检查
血吸虫环卵沉淀试验,血吸虫环卵沉淀试验
苯丙酮尿症(PKU）筛查,苯丙酮尿症(PKU）筛查
利多卡因代谢试验,利多卡因代谢试验
流行性出血热病毒抗体,流行性出血热病毒抗体
足－嘴试验,足－嘴试验
抗链球菌型M蛋白抗体,抗链球菌型M蛋白抗体
视野检查,视野检查
尿TH蛋白,尿TH蛋白
游离三碘甲状腺原氨酸,游离三碘甲状腺原氨酸
前列腺特异性抗原,前列腺特异性抗原
引流管,引流管
放射免疫显象,放射免疫显象
颌面部检查,颌面部检查
血红蛋白F包涵体生成试验,血红蛋白F包涵体生成试验
氧分压,氧分压
抗流行性乙型脑炎病毒IgM抗体,抗流行性乙型脑炎病毒IgM抗体
直接检眼镜检查法,直接检眼镜检查法
二硝基氯苯（DNCB）,二硝基氯苯（DNCB）
尿钾,尿钾
睾丸检查,睾丸检查
睾丸自我检查,睾丸自我检查
抗乙酸胆碱受体抗体（anti-AchR）,抗乙酸胆碱受体抗体（anti-AchR）
残气量／肺总量比值（RV/TLC）,残气量／肺总量比值（RV/TLC）
足轴线偏移,足轴线偏移
位听神经检查,位听神经检查
血浆抗利尿激素（ADH）,血浆抗利尿激素（ADH）
毛细血管脆性试验,毛细血管脆性试验
子宫颈锥形切除术,子宫颈锥形切除术
脑脊液脑膜炎球菌抗原,脑脊液脑膜炎球菌抗原
雌激素撤血试验,雌激素撤血试验
弹跳征,弹跳征
"肺内分流量（Qsp,Qs/Qt）","肺内分流量（Qsp,Qs/Qt）"
抗磷脂抗体,抗磷脂抗体
硝基四唑氮蓝试验,硝基四唑氮蓝试验
束臂试验,束臂试验
胸腔积液检查,胸腔积液检查
不孕的生殖系统检查,不孕的生殖系统检查
血清补体C6含量,血清补体C6含量
糖尿病类尿常规,糖尿病类尿常规
甲状腺131碘吸收率,甲状腺131碘吸收率
铜蓝蛋白,铜蓝蛋白
检影镜,检影镜
CT造影扫描,CT造影扫描
屈氏试验,屈氏试验
虫卵计数法,虫卵计数法
"维生素B2（VitB2,VB2）","维生素B2（VitB2,VB2）"
β-促黑素细胞激素,β-促黑素细胞激素
脑脊液强啡肽,脑脊液强啡肽
胸腔积液显微镜检查,胸腔积液显微镜检查
血清溶菌酶（LYSO）,血清溶菌酶（LYSO）
汉坦病毒抗体（VH-Ab）,汉坦病毒抗体（VH-Ab）
螺旋CT检查,螺旋CT检查
鼻前庭,鼻前庭
玻片压诊法,玻片压诊法
尿铁（Fe）,尿铁（Fe）
催产素激惹试验,催产素激惹试验
单核细胞比例(MONO%),单核细胞比例(MONO%)
周围血管征,周围血管征
视野计检查,视野计检查
潮气容量,潮气容量
全身骨骼疾病排查,全身骨骼疾病排查
粪结核杆菌检查,粪结核杆菌检查
尿中寄生虫检查,尿中寄生虫检查
抗庚型肝炎病毒E2抗体,抗庚型肝炎病毒E2抗体
尿肌酐,尿肌酐
脑脊液胆固醇酯,脑脊液胆固醇酯
蝰蛇毒复钙时间,蝰蛇毒复钙时间
血液半乳糖,血液半乳糖
尿孕酮,尿孕酮
皮肤点刺试验,皮肤点刺试验
指脉氧,指脉氧
CT平扫,CT平扫
副神经检查,副神经检查
低钠试验,低钠试验
解脲脲原体,解脲脲原体
椎间孔挤压试验,椎间孔挤压试验
椎板间隙显微内窥镜,椎板间隙显微内窥镜
系统胎儿超声检查,系统胎儿超声检查
十二指肠引流一般性状检查,十二指肠引流一般性状检查
并指(趾)畸形检查,并指(趾)畸形检查
血红蛋白A2,血红蛋白A2
99Tmc-MIBI甲状腺显像,99Tmc-MIBI甲状腺显像
头盆不称的估计法,头盆不称的估计法
骶髂关节检查法,骶髂关节检查法
胃总酸度测定,胃总酸度测定
凯洛格-斯皮德试验,凯洛格-斯皮德试验
血清脯氨酸羟化酶,血清脯氨酸羟化酶
尿铜（Cu）,尿铜（Cu）
寄生虫血液检查,寄生虫血液检查
醋酸白试验,醋酸白试验
多染性红细胞,多染性红细胞
尿胱氨酸,尿胱氨酸
餐后血清锌浓度反应试验(PICR),餐后血清锌浓度反应试验(PICR)
纯音听力计检查法,纯音听力计检查法
脱氧核糖核酸染色,脱氧核糖核酸染色
粪便红细胞,粪便红细胞
肾脏超声检查,肾脏超声检查
红细胞机械性脆性试验,红细胞机械性脆性试验
血清游离脂肪酸,血清游离脂肪酸
精氨酸兴奋GH试验,精氨酸兴奋GH试验
肾小球滤过率（GFR）,肾小球滤过率（GFR）
血清淀粉酶（AMS）,血清淀粉酶（AMS）
抱膝试验,抱膝试验
麦卡兹尼试验,麦卡兹尼试验
凝血酶时间,凝血酶时间
支气管镜检查,支气管镜检查
狼疮带试验,狼疮带试验
脑脊液肌酸激酶,脑脊液肌酸激酶
花托试验,花托试验
总三碘甲状腺原氨酸,总三碘甲状腺原氨酸
全身状态检查,全身状态检查
细菌的鉴定,细菌的鉴定
脂蛋白X（LP-X）,脂蛋白X（LP-X）
血清铯,血清铯
载脂蛋白E基因分型,载脂蛋白E基因分型
中性分叶核粒细胞,中性分叶核粒细胞
静脉尿路造影,静脉尿路造影
胰高血糖素负荷试验,胰高血糖素负荷试验
锡克试验,锡克试验
导管吹张法,导管吹张法
钼靶照相,钼靶照相
可乐定试验,可乐定试验
膀胱颈抬高试验,膀胱颈抬高试验
64排螺旋CT检查,64排螺旋CT检查
床旁透视与术中透视,床旁透视与术中透视
抗碱血红蛋白,抗碱血红蛋白
直腿抬高试验,直腿抬高试验
内听道片,内听道片
肝显像,肝显像
胰岛素,胰岛素
"血清铜（Cu2+,Cu)","血清铜（Cu2+,Cu)"
中年男性体检,中年男性体检
组织多肽抗原（TPA）,组织多肽抗原（TPA）
脉搏波速度,脉搏波速度
脑脊液钙,脑脊液钙
红细胞5＇-嘧啶核苷酸酶,红细胞5＇-嘧啶核苷酸酶
胆固醇酯与总胆固醇比值,胆固醇酯与总胆固醇比值
多普勒小儿血压检测,多普勒小儿血压检测
滑膜液常规检查,滑膜液常规检查
趾长伸肌肌力试验,趾长伸肌肌力试验
胫化酶谷氨酸,胫化酶谷氨酸
碳13尿素呼气试验,碳13尿素呼气试验
肾上腺CT检查,肾上腺CT检查
血清铁（Fe）,血清铁（Fe）
"白蛋白(A,Alb)","白蛋白(A,Alb)"
胸腹水检查,胸腹水检查
前房的一般检查,前房的一般检查
红细胞烯醇化酶,红细胞烯醇化酶
挺胸试验,挺胸试验
丁型肝炎病毒(HDV),丁型肝炎病毒(HDV)
尿黑酸定性试验,尿黑酸定性试验
粪瘘检测,粪瘘检测
木糖测定,木糖测定
葡萄糖耐量试验,葡萄糖耐量试验
抗核抗体(ANA)或抗核因子(ANF),抗核抗体(ANA)或抗核因子(ANF)
棒状小体,棒状小体
角质蛋白19片段(CYFRA21-1),角质蛋白19片段(CYFRA21-1)
腰腿痛的感觉检查,腰腿痛的感觉检查
瞳孔反射,瞳孔反射
角膜地形图检查,角膜地形图检查
血清酪氨酸,血清酪氨酸
李文生试验,李文生试验
血清甘-鹅去氧胆酸,血清甘-鹅去氧胆酸
经胸壁针刺肺活检,经胸壁针刺肺活检
血小板计数（PLT）,血小板计数（PLT）
脑脊液神经降压肽,脑脊液神经降压肽
侧方应力试验,侧方应力试验
淀粉水解试验,淀粉水解试验
口腔内窥镜,口腔内窥镜
寄生虫感染免疫检测,寄生虫感染免疫检测
50克葡萄糖耐量检查,50克葡萄糖耐量检查
碱剩余,碱剩余
载脂蛋白B（ApoB）,载脂蛋白B（ApoB）
脑脊液猪囊虫抗体,脑脊液猪囊虫抗体
膀胱输尿管返流显象,膀胱输尿管返流显象
尿卜琳及其前体,尿卜琳及其前体
金伯克现象,金伯克现象
β-N-乙酰氨基葡萄糖苷酶,β-N-乙酰氨基葡萄糖苷酶
胎心监护,胎心监护
阴道真菌检验,阴道真菌检验
淋巴细胞脉络丛脑膜炎补体结合试验,淋巴细胞脉络丛脑膜炎补体结合试验
脑脊液钙调素,脑脊液钙调素
脑脊液钾,脑脊液钾
嗜碱性粒细胞计数（B）,嗜碱性粒细胞计数（B）
纤维蛋白肽A,纤维蛋白肽A
抗球蛋白试验（Coombs试验）,抗球蛋白试验（Coombs试验）
胃运动功能测定,胃运动功能测定
人白细胞抗原B27（HLA―B27）,人白细胞抗原B27（HLA―B27）
血清纤维结合蛋白,血清纤维结合蛋白
痰液中晶体,痰液中晶体
血清脂蛋X,血清脂蛋X
粒细胞与红细胞比值,粒细胞与红细胞比值
抗卵子透明带抗体（AZP）,抗卵子透明带抗体（AZP）
氯丙嗪试验,氯丙嗪试验
下颌反射检查,下颌反射检查
动态心电图（Holter监测）,动态心电图（Holter监测）
精浆α-葡萄糖苷酶,精浆α-葡萄糖苷酶
血液碳氧血红蛋白,血液碳氧血红蛋白
尿素清除率(UCL),尿素清除率(UCL)
羊水钠,羊水钠
胰腺肿瘤标记（CA 19-9）,胰腺肿瘤标记（CA 19-9）
直接胆红素/间接胆红素比值,直接胆红素/间接胆红素比值
术后经T形管胆道造影,术后经T形管胆道造影
甲状腺激素抑制显像,甲状腺激素抑制显像
轮状病毒抗原的检测,轮状病毒抗原的检测
睾酮（T）,睾酮（T）
Nagel色觉镜检查法,Nagel色觉镜检查法
气管吸引术,气管吸引术
人工周期试验,人工周期试验
角膜检查,角膜检查
泪液分泌型免疫球蛋白A,泪液分泌型免疫球蛋白A
钙激发试验,钙激发试验
精子形态,精子形态
遗传筛查,遗传筛查
带绦虫孕节检查法,带绦虫孕节检查法
前列腺检查,前列腺检查
胃超声检查,胃超声检查
脑诱发电位,脑诱发电位
雅加森试验,雅加森试验
棘形红细胞,棘形红细胞
乳腺超声检查,乳腺超声检查
血卟啉雾化吸入试验,血卟啉雾化吸入试验
胃电图,胃电图
肾脏CT检查,肾脏CT检查
伸腕试验,伸腕试验
脑脊液游离型髓鞘碱性蛋白,脑脊液游离型髓鞘碱性蛋白
粪便脓液,粪便脓液
唾液氯化物,唾液氯化物
计算机三维重建技术,计算机三维重建技术
脊髓灰质炎病毒抗体（Polio―Ab）,脊髓灰质炎病毒抗体（Polio―Ab）
血清铝,血清铝
库姆斯氏试验,库姆斯氏试验
蔗糖溶血试验,蔗糖溶血试验
身高测试,身高测试
红细胞变形性,红细胞变形性
血管视诊,血管视诊
血浆蝰蛇毒磷脂时间测定,血浆蝰蛇毒磷脂时间测定
胸膝卧位检查,胸膝卧位检查
抗RNP抗体,抗RNP抗体
phi(φ)小体染色,phi(φ)小体染色
载脂蛋白A1\载脂蛋白B比值,载脂蛋白A1\载脂蛋白B比值
羊水量,羊水量
午夜一片法地塞米松抑制试验,午夜一片法地塞米松抑制试验
胃液胃组织癌胚抗原,胃液胃组织癌胚抗原
补体结合试验,补体结合试验
植物血凝素皮内试验,植物血凝素皮内试验
新生儿体格检查,新生儿体格检查
肿瘤筛查,肿瘤筛查
肩胛骨检查,肩胛骨检查
抗线粒体抗体（AMA）,抗线粒体抗体（AMA）
静脉胆囊、胆道造影,静脉胆囊、胆道造影
肺总量（TLC）,肺总量（TLC）
地塞米松抑制试验,地塞米松抑制试验
人体重心平衡仪,人体重心平衡仪
尿促卵泡成熟素,尿促卵泡成熟素
杜加斯征,杜加斯征
红细胞碱粒凝聚试验,红细胞碱粒凝聚试验
胃液乳酸测定,胃液乳酸测定
鼻部检查,鼻部检查
靶形红细胞,靶形红细胞
纤维鼻咽镜,纤维鼻咽镜
肝脏震颤试验,肝脏震颤试验
血清α-L-岩藻糖苷酶,血清α-L-岩藻糖苷酶
白细胞介素2（iL-2）,白细胞介素2（iL-2）
拉斯特征,拉斯特征
断层显像,断层显像
免疫病理检查,免疫病理检查
血浆组织纤溶酶原活化物活性检测,血浆组织纤溶酶原活化物活性检测
双视标检查法,双视标检查法
盐水输注试验,盐水输注试验
骨髓淋巴细胞系统,骨髓淋巴细胞系统
α-D-半乳糖-1-磷酸转尿苷酰酶,α-D-半乳糖-1-磷酸转尿苷酰酶
尿铬,尿铬
尿肌红蛋白（UMb）,尿肌红蛋白（UMb）
前列腺特异性酸性磷酸酶,前列腺特异性酸性磷酸酶
血清尿酸,血清尿酸
脑脊液细菌培养,脑脊液细菌培养
甲状腺血流显像,甲状腺血流显像
色氨酸,色氨酸
麻疹病毒抗体,麻疹病毒抗体
肾血浆流量测定,肾血浆流量测定
压颈试验,压颈试验
血压,血压
角膜荧光素染色,角膜荧光素染色
嗜异性凝集试验,嗜异性凝集试验
特里布累氏试验,特里布累氏试验
D860激发试验,D860激发试验
血红蛋白热不稳定试验,血红蛋白热不稳定试验
乙型肝炎病毒e抗原（HBeAg）,乙型肝炎病毒e抗原（HBeAg）
胎方位,胎方位
尿羟脯氨酸（HYP）,尿羟脯氨酸（HYP）
幽门螺杆菌检测,幽门螺杆菌检测
甲种胎儿球蛋白试验,甲种胎儿球蛋白试验
HLA定型,HLA定型
输卵管镜,输卵管镜
淋巴细胞数,淋巴细胞数
眼外部检查,眼外部检查
"结合胆红素(SDB,DBIL)","结合胆红素(SDB,DBIL)"
智商,智商
精液肉毒碱,精液肉毒碱
肠鸣音,肠鸣音
尿流率测定,尿流率测定
乳腺导管造影,乳腺导管造影
脑脊液生长抑素,脑脊液生长抑素
胆道镜检查,胆道镜检查
血红素结合蛋白,血红素结合蛋白
雌二醇（E2),雌二醇（E2)
宫颈刮片（TCT）,宫颈刮片（TCT）
胃部检查,胃部检查
抗心肌抗体（AMA）,抗心肌抗体（AMA）
脑脊液的化学检查,脑脊液的化学检查
血浆鱼精蛋白副凝试验（3p试验）,血浆鱼精蛋白副凝试验（3p试验）
挤压泪囊试验,挤压泪囊试验
血栓烷B2,血栓烷B2
肺活量体重指数,肺活量体重指数
异丙醇试验,异丙醇试验
二氧化碳总量(TCO2),二氧化碳总量(TCO2)
血清触珠蛋白（Hp）,血清触珠蛋白（Hp）
黄体生成素,黄体生成素
后鼻镜检查,后鼻镜检查
钼,钼
血清酸性磷酸酶同工酶,血清酸性磷酸酶同工酶
血液丙酮酸,血液丙酮酸
现时身高预测法,现时身高预测法
格哈德征,格哈德征
β-血小板球蛋白,β-血小板球蛋白
心血管疾病的超声诊断,心血管疾病的超声诊断
血清免疫球蛋白M（IgM）,血清免疫球蛋白M（IgM）
肝纤四项,肝纤四项
男性生殖器发育自我检测,男性生殖器发育自我检测
乙型肝炎核心抗原,乙型肝炎核心抗原
脾脏叩诊,脾脏叩诊
促肾上腺皮质激素（ACTH）,促肾上腺皮质激素（ACTH）
伸肘试验,伸肘试验
闭目难立征,闭目难立征
β-半乳糖苷酶,β-半乳糖苷酶
足长轴与两踝连线的测量,足长轴与两踝连线的测量
尿β半乳糖苷酶,尿β半乳糖苷酶
抗角蛋白抗体,抗角蛋白抗体
类风湿相关核抗原(RANA)抗体,类风湿相关核抗原(RANA)抗体
疟疾间接免疫荧光试验,疟疾间接免疫荧光试验
抗甲状腺抗体,抗甲状腺抗体
尿妊娠试验（HCG）,尿妊娠试验（HCG）
搔弹音,搔弹音
呼吸肌张力的测定,呼吸肌张力的测定
肌电图,肌电图
红细胞计数(RBC),红细胞计数(RBC)
谷酰氨检测,谷酰氨检测
腹部CT,腹部CT
血涂片,血涂片
全身软组织MRI检查,全身软组织MRI检查
吞咽试验法,吞咽试验法
99Tcm-DTPA肺上皮细胞通透性测定,99Tcm-DTPA肺上皮细胞通透性测定
直接抗人球蛋白试验,直接抗人球蛋白试验
触觉,触觉
粪便人体酿母菌,粪便人体酿母菌
动态显像,动态显像
血清氯化物（Cl）,血清氯化物（Cl）
前庭功能检查,前庭功能检查
呼吸动度,呼吸动度
纤维蛋白原,纤维蛋白原
红细胞滤过指数（IF）,红细胞滤过指数（IF）
麦克马瑞试验,麦克马瑞试验
组氨酸,组氨酸
捏鼻闭口呼气法,捏鼻闭口呼气法
动脉血气分析,动脉血气分析
胸围、吸气胸围,胸围、吸气胸围
深吸气量（IC）,深吸气量（IC）
回归热螺旋体（BR）,回归热螺旋体（BR）
放射性核素脑血管显像,放射性核素脑血管显像
钩端螺旋体病凝集溶解试验,钩端螺旋体病凝集溶解试验
阴茎海绵体造影,阴茎海绵体造影
三角试验,三角试验
维生素E,维生素E
小指对掌肌肌力试验,小指对掌肌肌力试验
血吸虫胶乳凝集试验,血吸虫胶乳凝集试验
阴道分泌物细胞学检查,阴道分泌物细胞学检查
絮状沉淀试验,絮状沉淀试验
血清运铁蛋白,血清运铁蛋白
5＇-核苷酸磷酸二酯酶同工酶,5＇-核苷酸磷酸二酯酶同工酶
阴道肿块,阴道肿块
神经系统检查,神经系统检查
泌乳素（PRL）兴奋试验,泌乳素（PRL）兴奋试验
胎势,胎势
血沉方程K值,血沉方程K值
眼位检查法,眼位检查法
脑脊液葡萄糖(CSF-Glu),脑脊液葡萄糖(CSF-Glu)
阴茎血流指数,阴茎血流指数
肾脏MRI检查,肾脏MRI检查
羊水渗透压,羊水渗透压
尿液细胞学检查,尿液细胞学检查
胃液蛋白酶,胃液蛋白酶
阿米巴原虫抗体,阿米巴原虫抗体
端坐伸膝试验,端坐伸膝试验
颈椎CT检查,颈椎CT检查
脑脊液(Kahn)氏沉淀试验,脑脊液(Kahn)氏沉淀试验
氨基酸清除率测定,氨基酸清除率测定
毛发,毛发
间接抗人球蛋白试验,间接抗人球蛋白试验
颅整体观,颅整体观
淋巴细胞转化率,淋巴细胞转化率
血清阴离子测定,血清阴离子测定
血清苯丙氨酸,血清苯丙氨酸
鼻部放射线检查,鼻部放射线检查
比塞征,比塞征
醋酸AS-D茶酚脂酶染色,醋酸AS-D茶酚脂酶染色
"血肌酐(Cr,Crea)","血肌酐(Cr,Crea)"
血吸虫尾蚴膜反应,血吸虫尾蚴膜反应
酚红排泄试验,酚红排泄试验
133Xe脑血流测定及显像,133Xe脑血流测定及显像
颗粒膜蛋白-140,颗粒膜蛋白-140
血清前白蛋白,血清前白蛋白
脑脊液β2微球蛋白（β2-MG）,脑脊液β2微球蛋白（β2-MG）
脏器断层显像,脏器断层显像
尿co2测定,尿co2测定
蝇蛆检查,蝇蛆检查
尿酮体检查（KET）,尿酮体检查（KET）
PPD试验,PPD试验
球形红细胞,球形红细胞
迟发性皮肤变态反应,迟发性皮肤变态反应
脑脊液单克隆抗体检测癌细胞,脑脊液单克隆抗体检测癌细胞
粪胆原,粪胆原
蛋白S抗原,蛋白S抗原
卵巢肿瘤标记,卵巢肿瘤标记
血清阳离子测定,血清阳离子测定
尿量,尿量
肺和胸膜叩诊,肺和胸膜叩诊
"血清总蛋白（TP,TP0）","血清总蛋白（TP,TP0）"
脱落细胞检查,脱落细胞检查
抗子宫内膜抗体（EMAb）,抗子宫内膜抗体（EMAb）
阴茎动脉血压,阴茎动脉血压
抗风疹病毒抗体(RuV),抗风疹病毒抗体(RuV)
直接涂片检查,直接涂片检查
婴幼儿视力检查,婴幼儿视力检查
粪钙,粪钙
婴儿智力测试,婴儿智力测试
脏器声学造影,脏器声学造影
α-羟丁酸脱氢酶,α-羟丁酸脱氢酶
细胞组织化学染色,细胞组织化学染色
尿比重,尿比重
尿碱性磷酸酶（UALP）,尿碱性磷酸酶（UALP）
中性粒细胞计数（NEUT）,中性粒细胞计数（NEUT）
胃液总量,胃液总量
暗适应曲线,暗适应曲线
胎儿血红蛋白(HbF)酸洗脱试验,胎儿血红蛋白(HbF)酸洗脱试验
面神经的运动检查,面神经的运动检查
阴道寄生虫检验,阴道寄生虫检验
胎心胎动,胎心胎动
疟原虫抗体和抗原,疟原虫抗体和抗原
引颈试验,引颈试验
男性生殖系X线检查,男性生殖系X线检查
偏振光显微镜检查,偏振光显微镜检查
缓冲液,缓冲液
GC球蛋白,GC球蛋白
毕克征,毕克征
血清钠,血清钠
痰液免疫学检查,痰液免疫学检查
骨髓其他细胞,骨髓其他细胞
尿道功能检查,尿道功能检查
肾脏超音波,肾脏超音波
宫腔细菌培养,宫腔细菌培养
脏器触诊,脏器触诊
血清氯化物,血清氯化物
脊髓灰质炎病毒抗体,脊髓灰质炎病毒抗体
心电图,心电图
粪便粘液,粪便粘液
上消化道摄影检查,上消化道摄影检查
颈部MRI检查,颈部MRI检查
脑脊液神经肽,脑脊液神经肽
血氧含量,血氧含量
异位胃粘膜显像,异位胃粘膜显像
鞠躬试验,鞠躬试验
血清甲状腺素结合前白蛋白,血清甲状腺素结合前白蛋白
反映肝脏贮备功能的试验,反映肝脏贮备功能的试验
血清磷脂酶A2,血清磷脂酶A2
尿β-羟丁酸,尿β-羟丁酸
碎裂红细胞,碎裂红细胞
尿纤维蛋白降解产物,尿纤维蛋白降解产物
真菌组织病理学,真菌组织病理学
父母身高预测法,父母身高预测法
烟碱型乙酰胆碱受体抗体,烟碱型乙酰胆碱受体抗体
