vid,name
海南中化联合紫杉醇注射液,海南中化联合紫杉醇注射液
百灵鸟陈香露白露片,百灵鸟陈香露白露片
武汉华龙注射用转移因子,武汉华龙注射用转移因子
太原药业异烟肼片,太原药业异烟肼片
广西亿康细辛脑胶囊,广西亿康细辛脑胶囊
重庆迪康长江氢化可的松注射,重庆迪康长江氢化可的松注射
宛西制药知柏地黄丸,宛西制药知柏地黄丸
葵花药业利巴韦林颗粒,葵花药业利巴韦林颗粒
广东隆信复方胆通胶囊,广东隆信复方胆通胶囊
湖北纽兰肾复康胶囊,湖北纽兰肾复康胶囊
翔宇药业复方红衣补血口服液,翔宇药业复方红衣补血口服液
圣元双氯芬酸钠滴眼液,圣元双氯芬酸钠滴眼液
汝立康风湿定胶囊,汝立康风湿定胶囊
百派五子衍宗片,百派五子衍宗片
绿太阳日晒防治膏,绿太阳日晒防治膏
江苏大洋甲硝唑维B6片,江苏大洋甲硝唑维B6片
北京中新药业二维葡醛内酯片,北京中新药业二维葡醛内酯片
鹏海制药氯化钠注射液,鹏海制药氯化钠注射液
信谊天平格列吡嗪片,信谊天平格列吡嗪片
山东中泰护肝片,山东中泰护肝片
广州南新注射用头孢噻肟钠,广州南新注射用头孢噻肟钠
大政药业氧化樟脑注射液,大政药业氧化樟脑注射液
华西制药复方斑蝥胶囊,华西制药复方斑蝥胶囊
海南通用康力注射用单磷酸阿,海南通用康力注射用单磷酸阿
鹿王制药脑络通胶囊,鹿王制药脑络通胶囊
信谊天平硫酸锌片,信谊天平硫酸锌片
叶开泰复方倍氯米松樟脑乳膏,叶开泰复方倍氯米松樟脑乳膏
大同云岗谷维素片,大同云岗谷维素片
鹏鹞药业盐酸金刚烷胺片,鹏鹞药业盐酸金刚烷胺片
大同制药田七痛经胶囊,大同制药田七痛经胶囊
浙江金华康恩贝积雪苷片,浙江金华康恩贝积雪苷片
坊子中狮注射用盐酸尼莫司汀,坊子中狮注射用盐酸尼莫司汀
珠海联邦阿莫西林颗粒,珠海联邦阿莫西林颗粒
九泰药业奥美拉唑肠溶胶囊,九泰药业奥美拉唑肠溶胶囊
严力达氟罗沙星分散片,严力达氟罗沙星分散片
地塞米松磷酸钠注射液,地塞米松磷酸钠注射液
延迪诺,延迪诺
惠美健曲咪新乳膏,惠美健曲咪新乳膏
帮宝宝羧甲淀粉钠溶液,帮宝宝羧甲淀粉钠溶液
天目山药业复方鲜竹沥液,天目山药业复方鲜竹沥液
上海福达三磷酸腺苷二钠注射,上海福达三磷酸腺苷二钠注射
德元堂贞芪扶正颗粒,德元堂贞芪扶正颗粒
九惠制药黄柏胶囊,九惠制药黄柏胶囊
吉林都邦曲克芦丁氯化钠注射,吉林都邦曲克芦丁氯化钠注射
朝阳富祥吡拉西坦胶囊,朝阳富祥吡拉西坦胶囊
爱盖深枸橼酸钙片,爱盖深枸橼酸钙片
敬修堂对乙酰氨基酚栓,敬修堂对乙酰氨基酚栓
金耀药业盐酸肾上腺素注射液,金耀药业盐酸肾上腺素注射液
普德药业注射用环磷酰胺,普德药业注射用环磷酰胺
无锡曙辉药业环孢素软胶囊,无锡曙辉药业环孢素软胶囊
北京中惠盐酸二甲双胍片,北京中惠盐酸二甲双胍片
三益无极膏,三益无极膏
悦康药业注射用硝普钠,悦康药业注射用硝普钠
河北百善接骨片,河北百善接骨片
丰原制药肝素钠注射液,丰原制药肝素钠注射液
山东齐都甲硝唑氯化钠注射液,山东齐都甲硝唑氯化钠注射液
康尔佳制药五味安神颗粒,康尔佳制药五味安神颗粒
爱普森药业丙谷胺片,爱普森药业丙谷胺片
广东闰宝药业盐酸可乐定片,广东闰宝药业盐酸可乐定片
晨牌药业银杏叶片,晨牌药业银杏叶片
广西南珠小儿化毒散,广西南珠小儿化毒散
吉林通化博祥熊胆丸,吉林通化博祥熊胆丸
北京海德润樟脑醑,北京海德润樟脑醑
陕西君寿堂腰息痛胶囊,陕西君寿堂腰息痛胶囊
龙泰化痰平喘片,龙泰化痰平喘片
恒安药业盐酸左氧氟沙星片,恒安药业盐酸左氧氟沙星片
四川瑞康酒石酸美托洛尔缓释,四川瑞康酒石酸美托洛尔缓释
利倍思,利倍思
华南药业盐酸多西环素片,华南药业盐酸多西环素片
仁和堂盐酸地芬尼多片,仁和堂盐酸地芬尼多片
河南天方硫唑嘌呤片,河南天方硫唑嘌呤片
江苏鹏鹞甘露醇注射液,江苏鹏鹞甘露醇注射液
迪冉郸城依托红霉素颗粒,迪冉郸城依托红霉素颗粒
德源生物人血白蛋白,德源生物人血白蛋白
白敬宇制药盐酸金霉素眼膏,白敬宇制药盐酸金霉素眼膏
同仁堂制药厂参桂理中丸,同仁堂制药厂参桂理中丸
力源制药肾复康片,力源制药肾复康片
白云山医药头孢氨苄甲氧苄啶,白云山医药头孢氨苄甲氧苄啶
锦州本天依托红霉素颗粒,锦州本天依托红霉素颗粒
浙江经纬复方猴头颗粒,浙江经纬复方猴头颗粒
吉林高邈药业安乐片,吉林高邈药业安乐片
兰药药业依托泊苷注射液,兰药药业依托泊苷注射液
南昌济生妇乐颗粒,南昌济生妇乐颗粒
得理多,得理多
吴中医药葡萄糖注射液,吴中医药葡萄糖注射液
浙江亚太乙酰唑胺片,浙江亚太乙酰唑胺片
安徽安科恒益阿莫西林颗粒,安徽安科恒益阿莫西林颗粒
舒威,舒威
莱士人纤维蛋白原,莱士人纤维蛋白原
白云山明兴盐酸普罗帕酮片,白云山明兴盐酸普罗帕酮片
福瑞达制药高锰酸钾外用片,福瑞达制药高锰酸钾外用片
白云山复方硫酸新霉素滴眼液,白云山复方硫酸新霉素滴眼液
必理通,必理通
摩美得止血祛瘀明目片,摩美得止血祛瘀明目片
武汉生物制品人血白蛋白,武汉生物制品人血白蛋白
长春海外制药肾炎四味胶囊,长春海外制药肾炎四味胶囊
赛克同,赛克同
东康药业肌苷片,东康药业肌苷片
吉林鹿王利巴韦林含片,吉林鹿王利巴韦林含片
甘肃中天金丹红芪口服液,甘肃中天金丹红芪口服液
诺美舒,诺美舒
广西灵峰小儿喜食片,广西灵峰小儿喜食片
弥凝,弥凝
陕西颐生堂维生素C片,陕西颐生堂维生素C片
三精人工牛黄甲硝唑胶囊,三精人工牛黄甲硝唑胶囊
第一生化鲑降钙素注射液,第一生化鲑降钙素注射液
河北一品制药盐酸罗哌卡因注,河北一品制药盐酸罗哌卡因注
重庆青阳盐酸奥洛他定片,重庆青阳盐酸奥洛他定片
兰州大得利注射用抑肽酶,兰州大得利注射用抑肽酶
亚东生物银黄颗粒,亚东生物银黄颗粒
远程抗妇炎胶囊,远程抗妇炎胶囊
武汉爱民维生素B6注射液,武汉爱民维生素B6注射液
鑫齐药业小儿麻甘颗粒,鑫齐药业小儿麻甘颗粒
黑龙江格润吡拉西坦注射液,黑龙江格润吡拉西坦注射液
兰州和盛堂当归腹痛宁滴丸,兰州和盛堂当归腹痛宁滴丸
重庆汉华丙硫氧嘧啶片,重庆汉华丙硫氧嘧啶片
白云山医阿莫西林克拉维酸钾,白云山医阿莫西林克拉维酸钾
博迪同,博迪同
升和宫瘤清胶囊,升和宫瘤清胶囊
一格制药注射用过氧化碳酰胺,一格制药注射用过氧化碳酰胺
天原药业香砂养胃丸,天原药业香砂养胃丸
福建太平洋曲咪新乳膏,福建太平洋曲咪新乳膏
北京同仁堂参芍片,北京同仁堂参芍片
天津力生制药枸橼酸喷托维林,天津力生制药枸橼酸喷托维林
华拓天涯苦参碱氯化钠注射液,华拓天涯苦参碱氯化钠注射液
黄石力康关节镇痛膏,黄石力康关节镇痛膏
烟台东诚大洋止痛化癥颗粒,烟台东诚大洋止痛化癥颗粒
振东泰盛注射用头孢噻肟钠,振东泰盛注射用头孢噻肟钠
蒙欣药业阿昔洛韦片,蒙欣药业阿昔洛韦片
中狮八珍片,中狮八珍片
南昌济生排石颗粒,南昌济生排石颗粒
国药集团宜宾制药肾炎四味胶,国药集团宜宾制药肾炎四味胶
山西德元堂通窍鼻炎片,山西德元堂通窍鼻炎片
千金妇科千金片,千金妇科千金片
江西大自然参茸酒,江西大自然参茸酒
哈尔滨莱博通注射用甲氨蝶呤,哈尔滨莱博通注射用甲氨蝶呤
天津世纪药业豆腐果苷片,天津世纪药业豆腐果苷片
浙江康恩贝盐酸金刚烷胺糖浆,浙江康恩贝盐酸金刚烷胺糖浆
易喷爽复方醋酸氯己定喷剂,易喷爽复方醋酸氯己定喷剂
皇甫谧消癌平胶囊,皇甫谧消癌平胶囊
广州白云山潘高寿维血康糖浆,广州白云山潘高寿维血康糖浆
湖南九典制药盐酸班布特罗胶,湖南九典制药盐酸班布特罗胶
达林克林霉素磷酸酯凝胶,达林克林霉素磷酸酯凝胶
山东鲁抗头孢氨苄胶囊,山东鲁抗头孢氨苄胶囊
长春海外小儿咳喘灵颗粒,长春海外小儿咳喘灵颗粒
华润双鹤药业复方托吡卡胺滴,华润双鹤药业复方托吡卡胺滴
震元制药石杉碱甲片,震元制药石杉碱甲片
森科制药肾石通颗粒,森科制药肾石通颗粒
贺尔舒,贺尔舒
和治药业消癌平片,和治药业消癌平片
九芝堂金鼎止血镇痛胶囊,九芝堂金鼎止血镇痛胶囊
浙江京新药业琥乙红霉素片,浙江京新药业琥乙红霉素片
四川制药制剂利福平胶囊,四川制药制剂利福平胶囊
青峰温胃舒泡腾片,青峰温胃舒泡腾片
贵州信邦制药扶正康颗粒,贵州信邦制药扶正康颗粒
山东方明曲咪新乳膏,山东方明曲咪新乳膏
国医堂制药安胎丸,国医堂制药安胎丸
古田药业腺苷钴胺片,古田药业腺苷钴胺片
广州白云山天心注射用头孢唑,广州白云山天心注射用头孢唑
北京御生堂心脑欣片,北京御生堂心脑欣片
考克,考克
长春高新制药碘化钾片,长春高新制药碘化钾片
山西康宝人血白蛋白,山西康宝人血白蛋白
临汾奇林复方肝浸膏片,临汾奇林复方肝浸膏片
宝珠制药硝苯地平片,宝珠制药硝苯地平片
大连天阳盐酸左旋咪唑片,大连天阳盐酸左旋咪唑片
千金舒复方苦木消炎分散片,千金舒复方苦木消炎分散片
江西闪亮氟康唑滴眼液,江西闪亮氟康唑滴眼液
杭州民生药业苄达赖氨酸滴眼,杭州民生药业苄达赖氨酸滴眼
四川国瑞琥乙红霉素片,四川国瑞琥乙红霉素片
山西云鹏制药芦丁片,山西云鹏制药芦丁片
南京圣和消癌平片,南京圣和消癌平片
振国药业宫颈癌栓,振国药业宫颈癌栓
江苏苏中药业集团生物制药甘,江苏苏中药业集团生物制药甘
万邦医药匹伐他汀钙片,万邦医药匹伐他汀钙片
北京同仁堂调经促孕丸,北京同仁堂调经促孕丸
施图伦,施图伦
安徽联谊三磷酸腺苷二钠注射,安徽联谊三磷酸腺苷二钠注射
佳合药业维胺酯胶丸,佳合药业维胺酯胶丸
吉林力胜鹿胎胶囊,吉林力胜鹿胎胶囊
山西诺成右旋糖酐20葡萄糖,山西诺成右旋糖酐20葡萄糖
振国药业宫颈癌片,振国药业宫颈癌片
吉林百年六福堂芬布芬片,吉林百年六福堂芬布芬片
惠诺药业蹄甲多肽片,惠诺药业蹄甲多肽片
吉林敖东大连维U颠茄铝镁片,吉林敖东大连维U颠茄铝镁片
天星制药鼻渊片,天星制药鼻渊片
山西云鹏制药双嘧达莫片,山西云鹏制药双嘧达莫片
祺笑化瘀祛斑胶囊,祺笑化瘀祛斑胶囊
益佰制药艾迪注射液,益佰制药艾迪注射液
康司艾,康司艾
黑龙江诺捷制药多潘立酮片,黑龙江诺捷制药多潘立酮片
太宝制药杞菊地黄丸,太宝制药杞菊地黄丸
卓力,卓力
万裕药业阿仑膦酸钠片,万裕药业阿仑膦酸钠片
北京双吉制霉素阴道栓,北京双吉制霉素阴道栓
天津生物眼氨肽注射液,天津生物眼氨肽注射液
云植云南红药胶囊,云植云南红药胶囊
太原药业注射用硫酸链霉素,太原药业注射用硫酸链霉素
金耀药业硫酸镁注射液,金耀药业硫酸镁注射液
费森尤斯卡比注射用甲氨蝶呤,费森尤斯卡比注射用甲氨蝶呤
四川康福来复方甲苯咪唑片,四川康福来复方甲苯咪唑片
普德药业注射用盐酸多柔比星,普德药业注射用盐酸多柔比星
汇仁药业阿奇霉素片,汇仁药业阿奇霉素片
利君琥乙红霉素片,利君琥乙红霉素片
汕头金石盐酸普萘洛尔片,汕头金石盐酸普萘洛尔片
迪沙盐酸安非他酮缓释片,迪沙盐酸安非他酮缓释片
永昇生化硫酸锌糖浆,永昇生化硫酸锌糖浆
罗盖全,罗盖全
黑龙江天宏暖宫孕子丸,黑龙江天宏暖宫孕子丸
山东康宁右旋糖酐20葡萄糖,山东康宁右旋糖酐20葡萄糖
西藏芝芝药业冰黄肤乐软膏,西藏芝芝药业冰黄肤乐软膏
陕西步长制药碳酸钙咀嚼片,陕西步长制药碳酸钙咀嚼片
天禾迪赛诺苦参碱氯化钠注射,天禾迪赛诺苦参碱氯化钠注射
脑蛋白水解物注射液,脑蛋白水解物注射液
湖北康沁苦参碱氯化钠注射液,湖北康沁苦参碱氯化钠注射液
惠州大亚小儿七星茶颗粒,惠州大亚小儿七星茶颗粒
丽珠集团泛昔洛韦片,丽珠集团泛昔洛韦片
海南通用同盟注射用盐酸尼莫,海南通用同盟注射用盐酸尼莫
仙唐马来酸氯苯那敏片,仙唐马来酸氯苯那敏片
陕西健民胆汁槟榔维B1胶囊,陕西健民胆汁槟榔维B1胶囊
锦州本天盐酸金刚烷胺糖浆,锦州本天盐酸金刚烷胺糖浆
太原药业阿替洛尔片,太原药业阿替洛尔片
维生素K1注射液,维生素K1注射液
东新药业百咳静糖浆,东新药业百咳静糖浆
白云山三味清热止痒洗剂,白云山三味清热止痒洗剂
尖峰注射用头孢哌酮钠舒巴坦,尖峰注射用头孢哌酮钠舒巴坦
广东恒健鱼石脂软膏,广东恒健鱼石脂软膏
百年六福堂胃乐新胶囊,百年六福堂胃乐新胶囊
天津天骄哈西奈德溶液,天津天骄哈西奈德溶液
妥塞敏,妥塞敏
成都天台山注射用更昔洛韦,成都天台山注射用更昔洛韦
润弘鼻炎灵片,润弘鼻炎灵片
鑫烨盐酸洛美沙星滴耳液,鑫烨盐酸洛美沙星滴耳液
全星制药注射用异环磷酰胺,全星制药注射用异环磷酰胺
双鹭药业醋酸奥曲肽注射液,双鹭药业醋酸奥曲肽注射液
辽宁卫星吡拉西坦注射液,辽宁卫星吡拉西坦注射液
康正药业曲咪新乳膏,康正药业曲咪新乳膏
上海新亚注射用盐酸甲氯芬酯,上海新亚注射用盐酸甲氯芬酯
吉林吉尔吉颈康胶囊,吉林吉尔吉颈康胶囊
同德药业骨增生镇痛膏,同德药业骨增生镇痛膏
金络,金络
河南福森复方硫酸亚铁颗粒,河南福森复方硫酸亚铁颗粒
上海金伴大豆磷脂散,上海金伴大豆磷脂散
石家庄康贺威溴丙胺太林片,石家庄康贺威溴丙胺太林片
成都平原葡萄糖注射液,成都平原葡萄糖注射液
济民可信山禾羚羊角散,济民可信山禾羚羊角散
贵州百灵鞣酸苦参碱胶囊,贵州百灵鞣酸苦参碱胶囊
乐普药业注射用头孢他啶,乐普药业注射用头孢他啶
葵花药业颠茄片,葵花药业颠茄片
山西振东泰盛氨茶碱片,山西振东泰盛氨茶碱片
